building_type_int,building_type,f_window,f_wall,ventilation_rate_pp_m3_h,pressure_drop_Pa,infiltration_ACH,int_heat_gain_appliances_W_m2,cooling_technology_share_ASHP,cooling_technology_share_GSHP,cooling_technology_share_WSHP,cooling_technology_share_chiller,cooling_technology_share_AC_split,cooling_technology_share_AC_mobile,scenario
1,New highrise residential,0.15,0.85,25,800,0.10,5,0.06,0.02,0.03,0.12,0.00,0.00,SQ
2,Old highrise residential,0.15,0.85,0,0,0.50,5,0.00,0.00,0.00,0.00,0.00,0.15,SQ
3,New lowrise residential,0.15,0.85,0,0,0.10,5,0.01,0.01,0.01,0.00,0.06,0.06,SQ
4,Old lowrise residential,0.15,0.85,0,0,0.50,5,0.01,0.01,0.01,0.00,0.06,0.06,SQ
5,New highrise office,0.25,0.75,25,800,0.10,15,0.23,0.08,0.04,0.50,0.00,0.00,SQ
6,Old highrise office,0.25,0.75,0,0,0.50,15,0.23,0.08,0.04,0.50,0.00,0.00,SQ
7,New lowrise office,0.25,0.75,25,200,0.10,15,0.01,0.02,0.01,0.00,0.22,0.25,SQ
8,Old lowrise office,0.25,0.75,0,0,0.50,15,0.01,0.02,0.01,0.00,0.22,0.25,SQ
1,New highrise residential,0.15,0.85,25,800,0.10,5,0.07,0.02,0.03,0.46,0.00,0.00,2030
2,Old highrise residential,0.15,0.85,0,0,0.50,5,0.04,0.01,0.02,0.00,0.00,0.28,2030
3,New lowrise residential,0.15,0.85,0,0,0.10,5,0.04,0.01,0.02,0.00,0.13,0.15,2030
4,Old lowrise residential,0.15,0.85,0,0,0.50,5,0.04,0.01,0.02,0.00,0.13,0.15,2030
5,New highrise office,0.25,0.75,25,800,0.10,15,0.16,0.06,0.03,0.75,0.00,0.00,2030
6,Old highrise office,0.25,0.75,0,0,0.50,15,0.16,0.06,0.03,0.75,0.00,0.00,2030
7,New lowrise office,0.25,0.75,25,200,0.10,15,0.06,0.13,0.06,0.00,0.35,0.40,2030
8,Old lowrise office,0.25,0.75,0,0,0.50,15,0.06,0.13,0.06,0.00,0.35,0.40,2030
1,New highrise residential,0.15,0.85,25,800,0.10,5,0.42,0.15,0.20,0.00,0.00,0.00,2050_L
2,Old highrise residential,0.15,0.85,0,0,0.50,5,0.26,0.09,0.12,0.00,0.00,0.00,2050_L
3,New lowrise residential,0.15,0.85,0,0,0.10,5,0.26,0.09,0.12,0.00,0.00,0.00,2050_L
4,Old lowrise residential,0.15,0.85,0,0,0.50,5,0.26,0.09,0.12,0.00,0.00,0.00,2050_L
5,New highrise office,0.25,0.75,25,800,0.10,15,0.33,0.12,0.06,0.49,0.00,0.00,2050_L
6,Old highrise office,0.25,0.75,0,0,0.50,15,0.33,0.12,0.06,0.49,0.00,0.00,2050_L
7,New lowrise office,0.25,0.75,25,200,0.10,15,0.13,0.26,0.13,0.00,0.23,0.26,2050_L
8,Old lowrise office,0.25,0.75,0,0,0.50,15,0.13,0.26,0.13,0.00,0.23,0.26,2050_L
1,New highrise residential,0.15,0.85,25,800,0.10,5,0.26,0.09,0.12,0.48,0.00,0.00,2050_M
2,Old highrise residential,0.15,0.85,0,0,0.50,5,0.16,0.06,0.07,0.00,0.00,0.30,2050_M
3,New lowrise residential,0.15,0.85,0,0,0.10,5,0.16,0.06,0.07,0.00,0.14,0.16,2050_M
4,Old lowrise residential,0.15,0.85,0,0,0.50,5,0.16,0.06,0.07,0.00,0.14,0.16,2050_M
5,New highrise office,0.25,0.75,25,800,0.10,15,0.19,0.07,0.04,0.70,0.00,0.00,2050_M
6,Old highrise office,0.25,0.75,0,0,0.50,15,0.19,0.07,0.04,0.70,0.00,0.00,2050_M
7,New lowrise office,0.25,0.75,25,200,0.10,15,0.07,0.15,0.07,0.00,0.33,0.37,2050_M
8,Old lowrise office,0.25,0.75,0,0,0.50,15,0.07,0.15,0.07,0.00,0.33,0.37,2050_M
1,New highrise residential,0.15,0.85,25,800,0.10,5,0.05,0.02,0.03,0.46,0.00,0.45,2050_H
2,Old highrise residential,0.15,0.85,0,0,0.50,5,0.04,0.01,0.02,0.00,0.00,0.71,2050_H
3,New lowrise residential,0.15,0.85,0,0,0.10,5,0.04,0.01,0.02,0.00,0.13,0.57,2050_H
4,Old lowrise residential,0.15,0.85,0,0,0.50,5,0.04,0.01,0.02,0.00,0.13,0.57,2050_H
5,New highrise office,0.25,0.75,25,800,0.10,15,0.16,0.06,0.03,0.75,0.00,0.00,2050_H
6,Old highrise office,0.25,0.75,0,0,0.50,15,0.16,0.06,0.03,0.75,0.00,0.00,2050_H
7,New lowrise office,0.25,0.75,25,200,0.10,15,0.06,0.13,0.06,0.00,0.35,0.40,2050_H
8,Old lowrise office,0.25,0.75,0,0,0.50,15,0.06,0.13,0.06,0.00,0.35,0.40,2050_H
