cooling_technology_int,cooling_technology,material_density_kg_kW,average_lifetime_yr,SEER,refrigerant_density_kg_kW,refrigerant_leakage_rate_relative,scenario
1,ASHP,32.9,12.5,4.8,0.3,0.05,SQ
2,GSHP,16.7,12.5,6.2,0.3,0.05,SQ
3,WSHP,14.2,12.5,7.5,0.2,0.05,SQ
4,chiller,10.6,20.0,4.1,0.1,0.10,SQ
5,AC_split,11.4,12.5,4.8,0.2,0.05,SQ
6,AC_mobile,10.2,12.0,2.5,0.1,0.23,SQ
1,ASHP,32.9,12.5,6.5,0.3,0.04,2030
2,GSHP,16.7,12.5,8.5,0.3,0.04,2030
3,WSHP,14.2,12.5,10.2,0.2,0.04,2030
4,chiller,10.6,20.0,5.0,0.1,0.04,2030
5,AC_split,11.4,12.5,6.5,0.2,0.04,2030
6,AC_mobile,10.2,12.0,2.9,0.1,0.18,2030
1,ASHP,32.9,12.5,8.9,0.3,0.01,2050_L
2,GSHP,16.7,12.5,11.5,0.3,0.01,2050_L
3,WSHP,14.2,12.5,13.9,0.2,0.01,2050_L
4,chiller,10.6,20.0,6.5,0.1,0.02,2050_L
5,AC_split,11.4,12.5,8.9,0.2,0.01,2050_L
6,AC_mobile,10.2,12.0,4.1,0.1,0.06,2050_L
1,ASHP,32.9,12.5,8.1,0.3,0.02,2050_M
2,GSHP,16.7,12.5,10.5,0.3,0.02,2050_M
3,WSHP,14.2,12.5,12.7,0.2,0.02,2050_M
4,chiller,10.6,20.0,6.0,0.1,0.02,2050_M
5,AC_split,11.4,12.5,8.1,0.2,0.02,2050_M
6,AC_mobile,10.2,12.0,3.7,0.1,0.09,2050_M
1,ASHP,32.9,12.5,7.3,0.3,0.05,2050_H
2,GSHP,16.7,12.5,9.5,0.3,0.05,2050_H
3,WSHP,14.2,12.5,11.5,0.2,0.05,2050_H
4,chiller,10.6,20.0,5.5,0.1,0.10,2050_H
5,AC_split,11.4,12.5,7.3,0.2,0.05,2050_H
6,AC_mobile,10.2,12.0,3.3,0.1,0.23,2050_H
