
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 330         4.122       51.992      11.90       Hoek van Holland
# T         : Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# Q         : Global radiation (in J/cm2) during the hourly division
  STN,YYYYMMDD,H,T,Q
  330,20180101,    1,   72,    0
  330,20180101,    2,   77,    0
  330,20180101,    3,   76,    0
  330,20180101,    4,   75,    0
  330,20180101,    5,   71,    0
  330,20180101,    6,   68,    0
  330,20180101,    7,   70,    0
  330,20180101,    8,   65,    0
  330,20180101,    9,   65,   11
  330,20180101,   10,   65,   30
  330,20180101,   11,   68,   44
  330,20180101,   12,   69,   38
  330,20180101,   13,   71,   42
  330,20180101,   14,   72,   22
  330,20180101,   15,   70,    7
  330,20180101,   16,   61,    1
  330,20180101,   17,   59,    0
  330,20180101,   18,   53,    0
  330,20180101,   19,   57,    0
  330,20180101,   20,   62,    0
  330,20180101,   21,   60,    0
  330,20180101,   22,   61,    0
  330,20180101,   23,   66,    0
  330,20180101,   24,   63,    0
  330,20180102,    1,   65,    0
  330,20180102,    2,   66,    0
  330,20180102,    3,   66,    0
  330,20180102,    4,   63,    0
  330,20180102,    5,   64,    0
  330,20180102,    6,   64,    0
  330,20180102,    7,   64,    0
  330,20180102,    8,   65,    0
  330,20180102,    9,   61,    7
  330,20180102,   10,   67,   25
  330,20180102,   11,   70,   39
  330,20180102,   12,   72,   49
  330,20180102,   13,   68,   29
  330,20180102,   14,   65,   15
  330,20180102,   15,   67,   12
  330,20180102,   16,   68,    2
  330,20180102,   17,   60,    0
  330,20180102,   18,   60,    0
  330,20180102,   19,   66,    0
  330,20180102,   20,   79,    0
  330,20180102,   21,   90,    0
  330,20180102,   22,   90,    0
  330,20180102,   23,   91,    0
  330,20180102,   24,   90,    0
  330,20180103,    1,   94,    0
  330,20180103,    2,   98,    0
  330,20180103,    3,   97,    0
  330,20180103,    4,   92,    0
  330,20180103,    5,   92,    0
  330,20180103,    6,   59,    0
  330,20180103,    7,   75,    0
  330,20180103,    8,   77,    0
  330,20180103,    9,   80,    8
  330,20180103,   10,   82,   10
  330,20180103,   11,   81,   18
  330,20180103,   12,   84,   20
  330,20180103,   13,   85,   28
  330,20180103,   14,   86,   19
  330,20180103,   15,   85,   16
  330,20180103,   16,   86,    3
  330,20180103,   17,   87,    0
  330,20180103,   18,   88,    0
  330,20180103,   19,   85,    0
  330,20180103,   20,   84,    0
  330,20180103,   21,   82,    0
  330,20180103,   22,   84,    0
  330,20180103,   23,   82,    0
