building_type_int,building_type,energy_class,energy_class_int,id_BAG,construction_year,floor_area_ground_m2,height_m,volume_m3,energy_label_int,floor_area_total_m2,number_of_residences,population,E_cooling_kWh,E_cooling_capped_at_98th_percentile_kWh,E_cooling_capped_at_98th_percentile_Wh_m2,P_cooling_peak_kW,P_cooling_peak_98th_percentile_kW,P_cooling_peak_98th_percentile_W_m2,electricity_use_kWh,GHG_emissions_electricity_kgCO2eq,GHG_emissions_refrigerant_leaks_kgCO2eq,GHG_emissions_production_phase_kgCO2eq,GHG_emissions_EoL_phase_kgCO2eq,mass_cooling_equipment_kg,ADP_kgSbeq,CSI_kgSieq,GHG_emissions_total_kgCO2eq,electricity_use_intensity_kWh_m2,material_use_intensity_kg_m2,GHG_emissions_intensity_kgCO2eq_m2,avg_SEER_inv,total_MPR,avg_lifetime_cooling_technology_yr
1,New highrise residential,A-A+++++,1,148,2013.6944834811961,354748.972962752,34.849485342465194,10700772.19885007,5.940793167197685,1677906.0,17322.0,34817.219999999994,55901941.15142515,55273026.93449447,32941.67071009607,42814.28491884695,27605.016387382457,16.45206369569121,5972988.367645236,949705.1504555924,70570.56809336001,56001.91027485338,4048.330863242412,219156.2250994293,3.5085534148100903,21928458.842563063,1080325.959687048,3.5597872393597947,0.13061293368009252,0.6438536841080778,0.1080633484162896,0.5800000000000001,10.700000000000001
1,New highrise residential,B-C,2,10,2005.5891905434337,10961.258234250661,41.38810056178543,358818.9507427409,7.1134013574454515,65859.0,561.0,1127.61,2060361.4270426622,2025189.3261036014,30750.380754393504,2073.762325717164,1218.8616710304466,18.507139055109352,218848.73975568425,34796.94962115379,3115.9467302890753,2472.6876079560734,178.74850177995708,9676.542806310716,0.15491536820929613,968221.0513081008,40564.3324611789,3.3229891093955906,0.14692817695851312,0.6159269418178064,0.1080633484162896,0.58,10.700000000000001
2,Old highrise residential,A-A+++++,1,93,1987.072356232894,122349.78524549183,25.529432582607924,2925883.6219477947,5.852161748000641,524668.0,5306.0,10665.06,14714783.149255613,14394795.705587354,27436.008496015296,17876.402120769566,9912.796777640162,18.893465539427147,1523585.8455660525,242250.14944500237,46512.82504004317,15606.152130097122,1128.1555756696714,45826.85950303047,0.9777348322470485,6110842.701544054,305497.28219081234,2.903904651257658,0.0873444911887717,0.5822678001913828,0.10584282519373799,0.35000000000000003,4.235
2,Old highrise residential,B-C,2,390,1981.5246933177807,287134.02955699514,27.535419321264754,7257557.509117134,7.839681766978738,1275669.0,14500.0,29144.999999999996,43256671.7915569,42156136.82456349,33046.297138649206,57649.050938115186,32300.049104889775,25.320086248775958,4461924.620765574,709446.0147017264,151558.2904099638,50851.38850798859,3676.0039885292954,149323.12701190545,3.1858701233920557,19911688.27120035,915531.697608208,3.4977134513463715,0.11705475872809123,0.7176875017016233,0.105842825193738,0.35000000000000003,4.235
2,Old highrise residential,D-E,3,475,1965.6135880025945,197723.1025604987,27.190059777884624,5022545.827358454,9.422270849880096,1043759.0,13630.0,27396.299999999996,36199477.99368908,34979229.70369368,33512.74547447608,58889.87947660829,31154.323780330466,29.848196547603866,3702300.4949396574,588665.7786954056,146182.31804206662,49047.62271762059,3545.6112807918494,144026.43883646774,3.0728631100196027,19205394.43762252,787441.3307358847,3.5470836610172056,0.13798821263957267,0.7544283026406331,0.10584282519373799,0.35000000000000003,4.235
3,New lowrise residential,A-A+++++,1,7803,2012.4527432031416,1231317.6503287326,9.807520367951962,11931846.377082769,5.742066762729061,3152118.0,25372.5,50998.72499999999,124696688.38653065,123494761.78718774,39178.34350972513,85883.8068216018,59439.09358635803,18.856874516232587,10004957.639812067,1590788.2647301187,216388.02020113642,95565.75859449133,6908.368091168048,284059.428249205,5.987252345678974,37420327.1604936,1909650.4116169144,3.174042862548949,0.09011700331307554,0.6058308767682284,0.08101523898684143,0.35000000000000003,4.3
3,New lowrise residential,B-C,2,353,2006.1347036130323,86954.78448299882,12.171386601716957,1007623.3602649677,7.157252811569759,238345.5,2319.0,4661.19,7670208.037364896,7544649.077415457,31654.254338409824,7636.393591564074,4751.309342873872,19.93454603872895,611231.548078666,97185.81614450789,17297.14166273233,7639.12190230721,552.2256796848586,22706.50734959423,0.4785955890602107,2991222.431626317,122674.3053892323,2.5644769801765337,0.09526719551908565,0.5146910908292051,0.08101523898684142,0.35,4.3
3,New lowrise residential,D-E,3,6,2009.1581508515815,604.9954995002424,9.59557357386951,5459.104051175508,9.282238442822385,1233.0,22.5,45.224999999999994,43027.173594076914,41000.74607883787,33252.83542484823,88.80163568941646,43.055306621969876,34.91914567880768,3321.6852422158518,528.1479535123203,156.74284375728132,69.2240205996568,5.0041460674450695,205.761310346394,0.004336926591785728,27105.7911986608,759.1189639367035,2.6939864089341863,0.1668785971990219,0.6156682594782673,0.08101523898684143,0.35,4.3
4,Old lowrise residential,A-A+++++,1,9935,1977.3852861752634,906076.4462389876,10.009058899855251,8641616.190100573,5.910309816040633,2051540.0,20415.0,41034.149999999994,71820474.39845403,70374761.58807011,34303.382623819234,81556.57899433479,48253.64025550302,23.5206918975516,5701428.128699488,906527.0724632186,175667.37735015876,77581.86502731597,5608.327592336093,230604.14678104894,4.860550580024614,30378441.125153843,1165384.6424330294,2.779096741325779,0.11240538657839913,0.5680535804483604,0.08101523898684143,0.35,4.3
4,Old lowrise residential,B-C,2,22819,1949.2305802102037,2948903.519698479,11.24031013745615,31872840.68817709,8.478169457524094,7271899.0,82599.0,166023.99,276814974.51324993,269561318.8038614,37068.90302022365,385774.8462623493,219967.78613226552,30.249015577948146,21838574.664502982,3472333.3716559736,800792.7254145127,353662.6667689536,25565.975911008692,1051226.0499260968,22.157179122874197,138482369.51796377,4652354.739750449,3.0031460371634675,0.1445600454470142,0.6397716387081901,0.08101523898684145,0.35,4.3
4,Old lowrise residential,D-E,3,16833,1931.9682661085524,2311120.845055004,11.317928885199162,25388297.352123436,9.44361214387033,5853521.0,69646.0,139988.46,217367225.62035364,207962664.88061088,35527.790005470364,425401.11977764766,213056.5493959515,36.398015723519485,16848144.995643105,2678855.0543072536,775632.3680759615,342550.8287229651,24762.71051009386,1018197.2495632522,21.461015775414676,134131348.59634174,3821800.961616274,2.8782923979674977,0.1739461171426996,0.6529063381879512,0.08101523898684143,0.35,4.3
