building_type_int,building_type,energy_class,energy_class_int,id_BAG,construction_year,floor_area_ground_m2,height_m,volume_m3,energy_label_int,floor_area_total_m2,number_of_residences,population,E_cooling_kWh,E_cooling_capped_at_98th_percentile_kWh,E_cooling_capped_at_98th_percentile_Wh_m2,P_cooling_peak_kW,P_cooling_peak_98th_percentile_kW,P_cooling_peak_98th_percentile_W_m2,electricity_use_kWh,GHG_emissions_electricity_kgCO2eq,GHG_emissions_refrigerant_leaks_kgCO2eq,GHG_emissions_production_phase_kgCO2eq,GHG_emissions_EoL_phase_kgCO2eq,mass_cooling_equipment_kg,ADP_kgSbeq,CSI_kgSieq,GHG_emissions_total_kgCO2eq,electricity_use_intensity_kWh_m2,material_use_intensity_kg_m2,GHG_emissions_intensity_kgCO2eq_m2,avg_SEER_inv,total_MPR,avg_lifetime_cooling_technology_yr
1,New highrise residential,A-A+++++,1,148,2013.6944834811961,666928.0691699738,34.849485342465194,20117451.733838134,5.940793167197685,3154463.2800000003,32565.360000000004,65456.37359999999,151252139.0925013,150047732.53610104,47566.80272280774,89651.92178256523,60669.555703003345,19.232925007452724,34745544.18411436,5524541.525274183,800031.2301887943,206131.18580430275,14901.049576214653,720208.2957503528,12.914242966052697,80714018.53782937,6545604.990843494,11.01472456642905,0.2283140527634713,2.0750296991390225,0.23156327387856185,1.01,15.850000000000001
1,New highrise residential,B-C,2,10,2005.5891905434337,20607.165480391246,41.38810056178543,674579.6273963529,7.1134013574454515,123814.92000000001,1054.68,2119.9067999999997,6151267.216904536,6083290.068000221,49132.12452909731,4446.729324283456,2803.6998691934855,22.644281231966914,1408666.5640990702,223977.98369175216,36971.549065093735,9525.864694071131,688.6167248726119,33282.721147195865,0.5968011615562635,3730007.259726648,271164.0141757896,11.377195608566964,0.26881026250467926,2.1900754301322456,0.23156327387856188,1.01,15.850000000000001
2,Old highrise residential,A-A+++++,1,93,1987.072356232894,122349.78524549183,25.529432582607924,2925883.6219477947,5.852161748000641,524668.0,5306.0,10665.06,26156262.330419056,25834253.73083298,49239.24030212053,20687.705751093807,12704.218258540639,24.213823329306607,5771959.475905696,917741.5566690058,177598.87322963405,39270.88565003481,2838.859203616974,114452.30229119261,2.4603446431347105,15377154.019591944,1137450.1747522915,11.00116545302114,0.21814233437372316,2.1679427271194194,0.22342272922003964,0.7800000000000001,9.394999999999998
2,Old highrise residential,B-C,2,390,1981.5246933177807,287134.02955699514,27.535419321264754,7257557.509117134,7.839681766978738,1275669.0,14500.0,29144.999999999996,77565682.13085194,76457726.63291873,59935.39596315247,67364.17260248573,41874.60749667656,32.82560562079706,17082393.954286415,2716100.6387315406,585386.9129919399,129441.48858089418,9357.21604199235,377248.3389375591,8.109587236393368,50684920.22745857,3440286.256346367,13.390929742971268,0.29572588103776065,2.6968486781025227,0.22342272922003967,0.7799999999999999,9.395000000000001
2,Old highrise residential,D-E,3,475,1965.6135880025945,197723.1025604987,27.190059777884624,5022545.827358454,9.422270849880096,1043759.0,13630.0,27396.299999999996,69642515.49878964,68415175.70192684,65546.90853149707,69977.24135112083,42063.15833709542,40.2996844454471,15285505.275393037,2430395.3387874933,588022.7632365922,130024.3310937209,9399.349235690666,378946.99345889257,8.14610267093191,50913141.693324454,3157841.782353497,14.644669196043377,0.3630598571690329,3.0254510690240726,0.22342272922003964,0.78,9.395
3,New lowrise residential,A-A+++++,1,7803,2012.4527432031416,2314877.182618018,9.807520367951962,22431871.188915607,5.742066762729061,5925981.840000001,47700.3,95877.60299999999,316323031.3976404,314026865.75093544,52991.53359385512,178458.49902672332,128127.8778343244,21.621375376054882,62430646.76724512,9926472.835991975,1592147.7606599955,395830.9624923252,28614.28644522833,1161222.956812482,24.799048252531218,154994051.57832012,11943065.845589524,10.53507223829851,0.1959545250331854,2.015373345388032,0.19880670597387942,0.77,9.34
3,New lowrise residential,B-C,2,353,2006.1347036130323,163474.9948280378,12.171386601716957,1894331.9172981393,7.157252811569759,448089.54000000004,4359.72,8763.037199999999,22618903.469935257,22380803.13506213,49947.16711097993,16427.1365620891,10947.689303648332,24.43192336881671,4449453.748331576,707463.1459847204,136038.61473256705,33821.16731640084,2444.903661426567,99218.90815896483,2.1189165065696915,13243228.166060572,879767.8316951148,9.929831766060808,0.22142652149158584,1.9633750694004475,0.19880670597387942,0.77,9.34
3,New lowrise residential,D-E,3,6,2009.1581508515815,1137.391539060456,9.59557357386951,10263.115616209956,9.282238442822385,2318.0400000000004,42.300000000000004,85.02300000000001,171293.56895512316,167455.66243283718,72240.19535160616,202.42637205921758,115.69671905775436,49.91144201901362,33291.30864494627,5293.318074546457,1437.6751982242297,357.42684914404,25.838085480292044,1048.5593648204276,0.022393007416253104,139956.2963515819,7114.258207395019,14.361835276762378,0.4523473990183205,3.0690834530012494,0.19880670597387945,0.7699999999999999,9.34
4,Old lowrise residential,A-A+++++,1,9935,1977.3852861752634,906076.4462389876,10.009058899855251,8641616.190100573,5.910309816040633,2051540.0,20415.0,41034.149999999994,120073661.82414775,118611860.14460492,57816.01145705418,93938.1524149043,60356.44431270502,29.4200670290148,23580833.204783376,3749352.4795605573,750003.6625763075,186461.75874234503,13479.163282579158,547010.4548060455,11.681941511568603,73012134.44730379,4699297.064161789,11.494210790325015,0.26663406748396107,2.290619273405241,0.19880670597387945,0.7699999999999999,9.34
4,Old lowrise residential,B-C,2,22819,1949.2305802102037,2948903.519698479,11.24031013745615,31872840.68817709,8.478169457524094,7271899.0,82599.0,166023.99,488765332.41446376,481449181.8037529,66206.80262525001,451462.6164803954,284153.5545377879,39.07556396723716,95715325.92822352,15218736.82258754,3530960.2655396415,877847.7946364331,63458.876720706015,2575283.6647759713,54.99769315794521,343735582.2371576,19691003.75948432,13.162356342988746,0.35414183623507034,2.7078214039392354,0.19880670597387945,0.77,9.34
