building_type_int,building_type,energy_class,energy_class_int,id_BAG,construction_year,floor_area_ground_m2,height_m,volume_m3,energy_label_int,floor_area_total_m2,number_of_residences,population,E_cooling_kWh,E_cooling_capped_at_98th_percentile_kWh,E_cooling_capped_at_98th_percentile_Wh_m2,P_cooling_peak_kW,P_cooling_peak_98th_percentile_kW,P_cooling_peak_98th_percentile_W_m2,electricity_use_kWh,GHG_emissions_electricity_kgCO2eq,GHG_emissions_refrigerant_leaks_kgCO2eq,GHG_emissions_production_phase_kgCO2eq,GHG_emissions_EoL_phase_kgCO2eq,mass_cooling_equipment_kg,ADP_kgSbeq,CSI_kgSieq,GHG_emissions_total_kgCO2eq,electricity_use_intensity_kWh_m2,material_use_intensity_kg_m2,GHG_emissions_intensity_kgCO2eq_m2,avg_SEER_inv,total_MPR,avg_lifetime_cooling_technology_yr
1,New highrise residential,A-A+++++,1,158,2013.388360530232,295006.25316558214,35.096437574978864,8921403.5273382,5.985080558446809,1406637.0999999999,14425.619999999999,28995.496199999998,44559431.894024536,44030298.21225045,31301.81779810191,35412.41911496897,22635.78371701901,16.092127612032282,3285672.0058877184,95284.48817074383,0.0,144011.48175858616,10410.468560861647,433769.5233692354,9.022406086080093,56390038.03800058,249706.43849019162,2.3358348829898756,0.3083734414293746,0.17752015675556376,0.07462297870545771,0.7700000000000001,9.625
2,Old highrise residential,A-A+++++,1,420,1985.1917893751604,382571.0205999863,26.62610746682402,9488730.363752024,6.9311616672453615,1656025.0,17987.0,36153.869999999995,47146788.00957296,46050794.98204291,27808.031268877534,59586.93514330579,33020.666706004304,19.939715104545105,2103262.469006199,60994.61160117977,0.0,128934.21229493311,9320.545467103599,388356.06112931663,8.077806071489785,50486287.946811154,199249.36936321648,1.2700668582939258,0.234510989344555,0.12031785109718543,0.045672663627769,0.47,5.875
2,Old highrise residential,B-C,2,538,1964.8847105938955,224635.89676299933,27.6136082358277,5717256.594671357,9.618687772027092,1188071.0,15449.0,31052.489999999998,39464117.32241095,38499989.31505434,32405.461723292916,51606.78347634658,29384.439714342898,24.73289871930457,1758397.0616591778,50993.51478811616,0.0,114736.01129948843,8294.169491529285,345590.39548038685,7.188280225992046,44926751.412450284,174023.69557913387,1.4800437529905013,0.2908836218377411,0.14647583821096036,0.04567266362776901,0.47,5.875
3,New lowrise residential,A-A+++++,1,8155,2012.009284403556,1063166.4735572503,9.973813807179354,10435607.637679514,5.840662430821635,2734501.9899999998,22322.079999999998,44867.38079999999,103600319.49732138,102562683.79334612,37506.89674698175,73240.97676768426,50419.2449220102,18.43818183581216,4684310.957654733,135845.0177719873,0.0,196869.60552321695,14231.537748666287,592980.7395277619,12.333999382177447,77087496.13860904,346946.1610438705,1.7130398788463612,0.2168514565709868,0.12687727502581578,0.045672663627769006,0.47,5.875
3,New lowrise residential,B-C,2,7,2008.7854785478548,727.9868938099468,9.500036701689115,6634.961048941379,9.834983498349835,1466.52,33.879999999999995,68.0988,52903.64284148407,51656.28627703092,35223.717560640776,65.81144628891691,37.62392949529115,25.65524472580746,2359.2801873905732,68.41912543432663,0.0,146.9083515516476,10.619880835058863,442.4950347941193,0.00920389672371768,57524.354523235495,225.94735782103308,1.6087610038666866,0.30173133322022155,0.15407042373853277,0.045672663627769,0.4699999999999999,5.875
4,Old lowrise residential,A-A+++++,1,25909,1963.2964729132161,3098833.2793344604,11.037701401302934,32678942.036076833,7.103344636599677,7526438.0,84515.0,169875.15,247085522.58432755,241932680.0842537,32144.37959686291,289905.49925710313,170021.00299328245,22.58983638651942,11049709.918052768,320441.58762353036,0.0,663872.8493797263,47990.80838889588,1999617.016203995,41.59203393704309,259950212.1065193,1032305.2453921526,1.4681194368508408,0.2656790657418549,0.13715721107277473,0.045672663627769006,0.47,5.875
4,Old lowrise residential,B-C,2,23678,1929.7350631760812,3067267.531658011,11.168851470561949,33223812.194324262,9.88078042256463,7650522.0,88145.0,177171.44999999998,275196897.6842295,267366100.7747026,34947.43244640074,406992.73326037877,228898.0957789378,29.91927815892011,12211321.986151183,354128.33759838436,0.0,893767.407479421,64609.6921069461,2692070.5044560875,55.99506649268662,349969165.57929134,1312505.4371847515,1.5961423267786412,0.35188063042705947,0.17155763190861376,0.045672663627769006,0.47000000000000003,5.875
5,New highrise office,A-A+++++,1,16,2010.7070757114805,59314.66326249955,69.57922525430243,2626350.3364880793,5.074441924254974,387537.0,195.0,25964.979,48253951.53178646,48029667.9441126,123935.69631831955,21009.142838367843,15802.182392728573,40.77593208578426,6110074.824719651,177192.16991686987,0.0,88973.72969896885,6431.835881853171,298771.86249931913,5.574257764272747,34839111.02670467,272597.7354976919,15.766429591805817,0.7709505479459229,0.7034108626987666,0.12721459644129424,1.0,16.175
6,Old highrise office,A-A+++++,1,126,1981.0555368526555,193857.64408745794,38.38875443203002,6378568.339640046,5.989835870522641,1112394.33,612.7500000000001,74530.42011,122959854.74081016,122222489.09572494,109873.34778641394,61493.1939642647,44565.9169016204,40.0630565076868,15548484.626363134,450906.0541645308,0.0,250927.10270298357,18139.30862913134,842607.7908589371,15.720734145247162,98254588.40779476,719972.4654966457,13.97749359830262,0.7574722093908343,0.6472277375745396,0.1272145964412942,1.0,16.175
6,Old highrise office,B-C,2,14,1962.6887714928716,11467.106407230296,23.577256776383223,270490.20882266696,10.665713599633666,102070.47000000002,334.59000000000003,6838.721490000001,12189848.620710844,12147871.6836117,119014.55615528858,4709.522735654293,3730.486207141877,36.54814372013646,1545386.5938512878,44816.21122168735,0.0,21004.394405212333,1518.389957003301,70532.30271843147,1.3159379627361942,8224612.267101213,67338.99558390299,15.14038873193479,0.6910157533166199,0.6597304350994267,0.12721459644129424,1.0,16.175
7,New lowrise office,A-A+++++,1,26,2011.9525423728815,35941.8974444967,7.503154909030342,308350.5213804847,5.518302907124451,137765.0,45.0,9230.255000000001,17051430.71033715,16990758.38773685,123331.45855432693,6341.196629389419,4954.716230766696,35.96498552438352,2307774.6171397422,66925.46389705253,0.0,26071.885266646204,1884.714597588882,77982.27875603703,1.6334193179103642,10208870.736939777,94882.0637612876,16.751530629258102,0.5660529071682723,0.6887240138009479,0.1358252859863741,1.0100000000000002,12.495000000000001
