building_type_int,building_type,energy_class,energy_class_int,id_BAG,construction_year,floor_area_ground_m2,height_m,volume_m3,energy_label_int,floor_area_total_m2,number_of_residences,population,E_cooling_kWh,E_cooling_capped_at_98th_percentile_kWh,E_cooling_capped_at_98th_percentile_Wh_m2,P_cooling_peak_kW,P_cooling_peak_98th_percentile_kW,P_cooling_peak_98th_percentile_W_m2,electricity_use_kWh,GHG_emissions_electricity_kgCO2eq,GHG_emissions_refrigerant_leaks_kgCO2eq,GHG_emissions_production_phase_kgCO2eq,GHG_emissions_EoL_phase_kgCO2eq,mass_cooling_equipment_kg,ADP_kgSbeq,CSI_kgSieq,GHG_emissions_total_kgCO2eq,electricity_use_intensity_kWh_m2,material_use_intensity_kg_m2,GHG_emissions_intensity_kgCO2eq_m2,avg_SEER_inv,total_MPR,avg_lifetime_cooling_technology_yr
1,New highrise residential,A-A+++++,1,148,2013.6944834811961,236499.31530850133,34.849485342465194,7133848.132566713,5.940793167197685,1118604.0,11548.0,23211.479999999996,36385300.74851736,35966617.493621364,32153.127910879426,28338.905716073787,18212.199685312098,16.281185911468306,1762152.0230165564,752438.9138280693,78824.2214579993,21337.923092902845,1542.5004645471934,72958.07193936026,1.336833735940901,8355210.849630631,854143.5588435187,1.5753135363511628,0.06522243076134206,0.7635799253744121,0.04899409913453974,0.22999999999999998,3.7750000000000004
1,New highrise residential,B-C,2,10,2005.5891905434337,7307.505489500441,41.38810056178543,239212.6338284939,7.1134013574454515,43906.0,374.0,751.7399999999999,1331729.849165077,1308339.1601553187,29798.641647048662,1369.9699089432895,801.1457549039527,18.246839951349536,64100.89851425014,27371.083665584807,3467.4389417997986,938.6447985266084,67.85384085734518,3209.389894145235,0.058806662076365826,367541.63797728636,31845.02124676856,1.4599576029301269,0.07309684084510625,0.7252999873996392,0.04899409913453973,0.22999999999999998,3.775
2,Old highrise residential,A-A+++++,1,93,1987.072356232894,122349.78524549183,25.529432582607924,2925883.6219477947,5.852161748000641,524668.0,5306.0,10665.06,14163310.01295413,13843431.799633784,26385.12697483701,17707.085624913732,9744.772545518199,18.573216863841893,830605.907978027,354668.72270661755,53892.00284710659,5156.202773147317,372.73754986607105,14909.501994642844,0.32303920988392826,2018995.0617745519,414089.6658767375,1.5831076184902206,0.028417021801678096,0.7892413218963945,0.05999999999999999,0.15,1.7999999999999998
2,Old highrise residential,B-C,2,327,1984.319674514764,260221.23535449448,27.134691599111083,6562846.74180423,7.431549015916285,1131357.0,12681.0,25488.809999999998,36562280.83854958,35580469.48099638,31449.374053456497,50777.948720787965,28119.585295892542,24.854741072793594,2134828.1688597826,911571.6281031272,155511.14854113935,14878.77556968914,1075.5741375678895,43022.96550271558,0.9321642525588376,5826026.578492736,1083037.1263515237,1.886962443207389,0.03802775384137419,0.9572903392576558,0.06,0.15000000000000002,1.7999999999999996
2,Old highrise residential,D-E,3,475,1965.6135880025945,197723.1025604987,27.190059777884624,5022545.827358454,9.422270849880096,1043759.0,13630.0,27396.299999999996,34611832.49206752,33393000.577750724,31993.018098766788,58183.12209527884,30472.926543837446,29.195366501115146,2003580.0346650432,855528.6748019735,168525.94931171145,16123.987257507986,1165.5894403017821,46623.57761207128,1.010177514928211,6313609.46830132,1041344.2008114947,1.9195810859260072,0.04466891074670617,0.9976864398884175,0.05999999999999999,0.14999999999999997,1.7999999999999998
2,Old highrise residential,F-G,4,63,1959.612991296635,26912.794202500652,30.676988376870767,694710.7673129034,11.039303730805477,144312.0,1819.0,3656.1899999999996,4964150.239817862,4676998.226148069,32408.934989107416,11713.886394309264,5317.848813165475,36.84966470678443,280619.8935688841,119824.69455391353,29409.565183889692,2813.8067532661817,203.40771710357936,8136.308684143175,0.17628668815643544,1101791.8009777218,152251.474208173,1.9445360993464451,0.05637998700138017,1.055016036145109,0.060000000000000005,0.15,1.7999999999999996
3,New lowrise residential,A-A+++++,1,7803,2012.4527432031416,820878.4335524885,9.807520367951962,7954564.251388513,5.742066762729061,2101412.0,16915.0,33999.149999999994,81506754.60529897,80707112.34064329,38406.13470401962,56841.038293819336,39242.33405725518,18.674269518426268,3351731.6627704254,1431189.4200029718,149714.99835519656,25529.257390283587,1845.4884860445964,75894.67406673153,1.5994233545719838,9996395.966074899,1608279.1642344964,1.5949902554903208,0.03611603724863641,0.7653326259840985,0.04152956989247312,0.15,1.845
3,New lowrise residential,B-C,2,352,2006.1301141274519,57771.544593999424,12.178454792837496,669904.8706606728,7.147797889052218,158507.0,1533.0,3081.3299999999995,4940780.54213389,4857416.527833312,30644.807660439677,5024.758657244493,3110.58268248761,19.624260647716568,201726.4191895076,86137.18099391976,11867.308415265781,2023.6020064230443,146.2844823920273,6015.8669079310375,0.126779884739757,792374.2796234813,100174.37589800061,1.2726656815756252,0.03795332009268384,0.6319870787914768,0.04152956989247312,0.15,1.845
3,New lowrise residential,D-E,3,6,2009.1581508515815,403.3303330001616,9.59557357386951,3639.402700783672,9.282238442822385,822.0,15.0,30.15,27133.55685654064,25783.225144768505,31366.453947406942,58.37281747588155,27.904590538094368,33.947190435637914,1070.7662507030338,457.21718905019554,106.45991954550536,18.15344299291944,1.3122970838255017,53.96747810067451,0.001137324139315435,7108.275870721469,583.1428486724459,1.302635341487876,0.06565386630252373,0.7094195239324158,0.04152956989247311,0.15,1.845
3,New lowrise residential,F-G,4,1,2008.0,198.31172799979436,9.298674371093512,1844.0361826389553,11.0,390.0,13.0,26.129999999999995,9850.859939037698,8881.573367698635,22773.26504538111,35.51966789371163,13.647282618724267,34.99303235570325,368.8479219289683,157.49806266366946,52.066293809999706,8.878294296741547,0.6418044069933647,26.393844584612733,0.0005562304860609161,3476.4405378807264,219.0844551774041,0.94576390238197,0.06767652457593008,0.5617550132753951,0.04152956989247312,0.15,1.845
